objid,ra,dec,ug,gr,ri,iz,dered_g,specobjid,specClass,z
587727179523883190,1.63135441,-9.89430958,1.235518,0.699263,0.420292,0.23366,18.134661,183182690005024768,2,0.114425
587727179523817539,1.44118886,-9.84808732,0.907547,0.391401,0.365747,0.102028,17.796537,183182690025996288,2,0.105069
587727179523817631,1.47145642,-9.88354194,2.202034,1.287775,0.476463,0.28686,18.607351,183464155536162816,2,0.218503
587727179524079759,2.082533,-9.90840597,0.056311,0.086754,0.100063,-0.089537,19.32723,183464155787821056,3,1.45907
587727179524079665,2.06388163,-9.98177372,0.300285,0.432623,0.37007,0.037485,18.686588,183464155800403968,3,1.95156
587727179523883121,1.50771216,-9.91754075,1.212053,0.532791,0.316008,0.189034,18.139006,183464155573911552,2,0.091253
587727180060098638,6.54978E-3,-9.49452099,1.713093,1.260162,0.500456,0.355045,18.608557,183182689396850688,2,0.190525
587727179524145153,2.10730075,-9.86196873,0.29077,-0.123209,0.214952,-0.046209,18.908234,183464155804598272,3,0.553654
587727179523948688,1.7435714,-9.90614695,1.107965,0.532063,0.345539,0.195999,17.400656,183464155741683712,2,0.101403
587727179523883079,1.58161942,-9.88308554,1.860106,1.367323,0.513493,0.289536,18.561296,183182689992441856,2,0.219018
587727179523948704,1.77639299,-9.95311609,1.835451,1.205338,0.475639,0.336967,17.938932,183464155729100800,2,0.173817
587727179524145236,2.18388254,-9.91998019,2.083511,1.268867,0.500107,0.321085,18.632027,183464155892678656,2,0.203059
587727179524145257,2.21580459,-9.82340264,1.712934,0.769975,0.358233,0.270169,16.67738,183464155880095744,2,0.062808
587727179524014133,1.80958542,-9.85260507,1.603329,1.201067,0.487949,0.325964,18.680134,183464155716517888,2,0.218866
587727179524014163,1.87987882,-9.98039239,-0.133383,-0.382927,-0.249321,-0.05283,19.431061,183464155708129280,1,-2.78954E-4
587727179524210769,2.3073761,-9.96515537,0.325941,0.352274,0.157892,0.240746,19.066128,183464155905261568,3,2.06884
587727179524210805,2.38142286,-9.98688446,0.927757,0.558132,0.489998,0.049334,17.957176,183464156043673600,2,0.088207
